trial,model,decision,score,altscore,rt,distance,countA,countB,maxspeed_front,maxspeed_back
ABBBBAABAABBBA,information,B,0.67988480751028646,0.40793088450617188,8,7,6,8,0.5714285714285714,0.5714285714285714
ABBBBAABAABBBA,relcount,B,0.6666666666666667,0.3333333333333333,3,7,6,8,0.5714285714285714,0.5714285714285714
ABBBBAABAABBBA,abscount,N,,,,7,6,8,0.5714285714285714,0.5714285714285714
ABBBBAABAABBBA,likelihood_ratio,B,-1.380211241711606,0,5,7,6,8,0.5714285714285714,0.5714285714285714
ABBBBAABAABBBA,naive_probability,B,0.75,0,2,7,6,8,0.5714285714285714,0.5714285714285714
ABABABAABBBABA,information,A,0.67988480751028646,0.40793088450617188,8,6,7,7,0.5714285714285714,0.5714285714285714
ABABABAABBBABA,relcount,A,0.6666666666666666,0.33333333333333337,3,6,7,7,0.5714285714285714,0.5714285714285714
ABABABAABBBABA,abscount,N,,,,6,7,7,0.5714285714285714,0.5714285714285714
ABABABAABBBABA,likelihood_ratio,N,,,,6,7,7,0.5714285714285714,0.5714285714285714
ABABABAABBBABA,naive_probability,A,0.75,0,7,6,7,7,0.5714285714285714,0.5714285714285714
ABABABAABBBABB,information,A,0.67988480751028646,0.40793088450617188,8,5,6,8,0.5714285714285714,0.7142857142857143
ABABABAABBBABB,relcount,A,0.6666666666666666,0.33333333333333337,3,5,6,8,0.5714285714285714,0.7142857142857143
ABABABAABBBABB,abscount,N,,,,5,6,8,0.5714285714285714,0.7142857142857143
ABABABAABBBABB,likelihood_ratio,N,,,,5,6,8,0.5714285714285714,0.7142857142857143
ABABABAABBBABB,naive_probability,A,0.75,0,7,5,6,8,0.5714285714285714,0.7142857142857143
ABBBBAABAABBBB,information,B,0.67988480751028646,0.40793088450617188,8,6,5,9,0.5714285714285714,0.7142857142857143
ABBBBAABAABBBB,relcount,B,0.6666666666666667,0.3333333333333333,3,6,5,9,0.5714285714285714,0.7142857142857143
ABBBBAABAABBBB,abscount,N,,,,6,5,9,0.5714285714285714,0.7142857142857143
ABBBBAABAABBBB,likelihood_ratio,B,-1.380211241711606,0,5,6,5,9,0.5714285714285714,0.7142857142857143
ABBBBAABAABBBB,naive_probability,B,0.75,0,2,6,5,9,0.5714285714285714,0.7142857142857143
AABBABBBBAABAA,information,B,0.67988480751028646,0.40793088450617188,8,6,7,7,0.5714285714285714,0.5714285714285714
AABBABBBBAABAA,relcount,A,0.6666666666666666,0.33333333333333337,3,6,7,7,0.5714285714285714,0.5714285714285714
AABBABBBBAABAA,abscount,N,,,,6,7,7,0.5714285714285714,0.5714285714285714
